mmsi,name,destination,imo,call_sign,ship_type,draught,length_m,width_m,last_updated
235080287,SPECTRUM 4,LIVERPOOL><BBWF,960959800,2DMP7,40,1.8,0,0,2025-07-21T09:57:07.103388
538008683,LOUISA BOLTEN,GBLIV>DEBRE,9406049,V7A2655,70,6.4,0,0,2025-07-18T16:35:22.828011
636019710,ADAVEGA,GBLIV>>IEFOV        ,9539339,D5VT9,70,5.0,0,0,2025-07-13T17:04:57.674231
235054738,VB DONAU,LIVERPOOL,9389473,MRSV3,31,4.6,0,0,2025-07-21T09:58:58.735448
232017592,SVITZER AMAZONAS,LIVERPOOL,9409974,MDRZ8,52,5.4,0,0,2025-07-21T09:56:10.800307
235024612,SNOWDROP,LIVERPOOL,8633724,MHNY4,69,3.0,0,0,2025-07-21T09:56:54.172857
232044595,VB ELBE,LIVERPOOL,9389485,MMOC6,52,4.8,0,0,2025-07-21T09:57:54.569295
248064000,PALATINE,GBLIV,9376701,9HA2152,79,6.1,0,0,2025-07-21T09:55:01.684116
232028316,SVITZER TRIDENT,LIVERPOOL TUG OPS,9769398,MHOM5,52,4.4,0,0,2025-07-21T09:58:07.208063
235010620,SVITZER STANLOW,LIVERPOOL,9352793,MLNF7,52,6.2,0,0,2025-07-21T09:55:10.010411
244130690,BORE SONG,IEDUB<>GBLIV,9443566,PDFS,71,6.1,0,0,2025-07-21T09:48:28.737522
232048132,SVITZER ELIZABETH,LIVERPOOL,9965136,MAXB4,52,6.2,0,0,2025-07-21T09:54:13.175753
249581000,ALAND               ,GBLIV               ,9487380,9HA4298,80,6.0,0,0,2025-07-07T15:18:13.481221
235113676,NSL EXCALIBUR,LIVERPOOL  BURBO,0,2IXX3,40,1.5,0,0,2025-07-21T09:55:07.075945
235099933,MERSEY ENDURANCE,LIVERPOOL BUNKERING,0,2GJY7,99,0.0,0,0,2025-07-21T09:58:59.792389
256768000,NAVA DIONYSSOS      ,GBLIV               ,9608673,9HA5966,70,5.9,0,0,2025-07-07T15:18:29.604508
235101502,WILDCAT 6,LIVERPOOL GYM,0,2GYF8,40,1.2,0,0,2025-07-21T09:00:42.634377
232025231,FULMAR,LIVERPOOL BAR PILOT,0,MGJM3,50,1.4,0,0,2025-07-21T09:24:27.991946
305115000,SPICA J,GBLIV,9355460,V2CV3,79,7.5,0,0,2025-07-21T09:27:36.042601
232002697,MILLGARTH,LIVERPOOL TUG OPS,9144122,MWIS6,52,5.2,0,0,2025-07-21T09:58:58.853897
352003204,LADY RUBINA,GBLIV,9370109,3E6069,70,7.8,0,0,2025-07-21T09:57:09.182648
232037001,VB PHOENIX,LIVERPOOL,9793155,MJOK8,52,4.4,0,0,2025-07-21T09:58:47.634582
245734000,VOX ALEXIA,GBLIV,9891763,PDFZ,90,7.8,0,0,2025-07-21T09:54:53.466461
538010266,FJ IRIS,GBLIV,9958884,V7A5824,70,12.6,0,0,2025-07-21T09:55:57.003312
235074754,VB SANDON,LIVERPOOL TUG OPS,9120152,2CPS8,52,5.2,0,0,2025-07-21T09:55:35.292757
636015272,ADAMOON,GBLIV>MAJFL,9521758,A8ZQ5,70,7.6,0,0,2025-07-21T00:24:37.977660
235103429,NJORD SKUA,GBLIV,745815,2HGG9,90,1.9,0,0,2025-07-21T00:20:36.915824
249673000,MAZARINE,GBLIV,9376696,9HA4332,79,6.0,0,0,2025-07-21T09:57:25.210249
249671000,VESPERTINE,GBLIV,9376713,9HA4331,71,6.0,0,0,2025-07-21T09:55:11.889702
235024007,ROYAL IRIS,LIVERPOOL,0,MHWA3,69,3.0,0,0,2025-07-21T09:56:08.398201
215804000,ATLANTIC SKY,BEANR>GBLIV,9670602,9HA5293,70,9.6,0,0,2025-07-21T00:12:21.459649
235083476,WIND TRANSFER,LIVERPOOL,0,2EAL9,49,1.9,0,0,2025-07-14T11:02:29.447286
563096300,HELENE MAERSK,GB LIV,9389514,9V3469,80,7.7,0,0,2025-07-21T09:57:42.276205
235097748,WILDCAT 7,LIVERPOOL MARINA,0,2GIU6,40,1.2,0,0,2025-07-14T15:16:13.375449
235069806,FUGRO VALKYRIE,LIVERPOOL,0,2BWA9,33,1.2,0,0,2025-07-21T09:56:22.395464
235086211,TITAN ENDEAVOUR,LIVERPOOL,0,2ELT9,33,1.5,0,0,2025-07-19T18:39:24.876166
353602000,LARA 1,GBLIV,8521672,3FAG2,99,2.8,0,0,2025-07-21T00:17:40.322758
246830000,ALAMOSBORG,LIVERPOOL-UK,9466348,PCMV,70,9.7,0,0,2025-07-21T09:54:01.677644
235108183,GREEN ISLE,LIVERPOOL,9707962,2IAV3,52,2.9,0,0,2025-07-21T09:58:21.330413
636016423,MSC BHAVYA V,GBLIV>>CAMTR,9297876,D5GC9,74,11.4,0,0,2025-07-19T01:58:02.680112
232004530,VB SERVICEMAN,LIVERPOOL,9345685,MAGC3,52,4.0,0,0,2025-07-21T09:57:01.319505
232023509,NJORD THUNDER,LIVERPOOL<>BURBO OWF,9858826,MFTJ9,90,1.8,0,0,2025-07-21T09:57:48.515431
256408000,V UNO,GBLIV,9698214,9HA3906,70,9.5,0,0,2025-07-21T09:57:44.483716
235102534,TITAN DISCOVERY,LIVERPOOL MARINA,0,2HCR3,99,1.5,0,0,2025-07-21T09:56:01.350748
477871100,WL PALEKH,GB LIV,9674397,VRVA9,70,9.5,0,0,2025-07-21T09:53:41.605177
209255000,EDT PROTEA,LIVERPOOL [UK],9019107,P3KR9,99,6.7,0,0,2025-07-17T15:09:49.442942
232056735,BALTIC EAGLE,GB LIV,1039606,MPUK9,40,1.7,0,0,2025-07-21T09:55:39.433351
235100118,VITAL,LIVERPOOL,0,2GSI9,52,1.6,0,0,2025-07-20T22:22:05.051452
