Vessel_Name,MMSI_List
MSC LYON,[636024507]
FS BALMORAL,[232007020]
KMARIN RESOLUTION,[235108531]
REM ARCTIC,[257982000]
VIKING VELA,[257526000]
OSLO WAVE 3,[257113350]
WL PALEKH,[477871100]
STOLT JAEGER,[235112981]
MARS CLIPPER,[232053783]
SWORD,[311000765]
GRAMPIAN TEES,[232050438]
ICENI LEGEND,[232007977]
PROGRESS,"[235108388, 249177000, 246303000]"
LUCIA B,[255806171]
GRAMPIAN CONTENDER,[235010520]
COE MIEKE,[352001928]
CELINA,[305256000]
PETUNIA SEAWAYS,[220223000]
PEAK BERGEN,[246399000]
BURHAN DIZMAN,[314707000]
CMA CGM GOYA,[255806113]
ISLE OF CUMBRAE,[232003244]
WAVEDANCER,[235109107]
GOLDEN STAR,[235053512]
GRAMPIAN FORTRESS,[235113405]
AAL GIBRALTAR,[212314000]
SVITZER MONARCH,[232007487]
ACCORD_BCK_262,[235081732]
SD DEBORAH,[235074296]
ENTERPRISE 1,[250310000]
M006,[232061884]
ARKLOW BANK,[244810323]
ENDERPEARL,[257029840]
CONNEMARA LADY,[250178000]
MSC PAMELA,[371228000]
ALLORA,[305844000]
L.E SAMUEL BECKETT,[250002868]
NAVIGATOR EUROPA,[636016397]
STI ROSE,[538006037]
IVER AMBITION,[255984000]
F/V PAX DEI II,[228426900]
BOSPHORE,[226007020]
TWILIGHT PZ330,[235002810]
STENA TRANSPORTER,[246762000]
TWIN STAR,[235053178]
SVITZER MUSSELWICK,[235063852]
NORTH SEA GIANT,[259362000]
ORCA,[232045501]
OCEAN BOUNTY PD182,[232328000]
CHLOE OF LADRAM,[232004700]
WINDCAT 45,[232024430]
ESVAGT CARPATHIA,[219009417]
PILOT BOAT HIBERNIA,[232052825]
PRIDE OF THE TYNE,[235078159]
EGS ECHO,[235017585]
STEN BOTHNIA,[255915981]
GRANDE BENIN,[247275400]
SAVONETTA SUN,[352001671]
RNLI LIFEBOAT 13-22,[235113728]
STOLT OSPREY,[235112065]
HAVEN HORNBILL,[235005298]
CMA CGM ST. LAURENT,[228369800]
FORTH KING,[232020157]
RNLI LIFEBOAT 12-20,[232002280]
ARKLOW SPRAY,[250002903]
HTM DEFENDER,[236747000]
SOLITAS-H,[210290000]
NEPTUNE CLIPPER,[235112742]
ASH ADRIATIC,[538009698]
ESVAGT CHASTINE,[219669000]
SWAN PACIFIC,[319104700]
TORMORE,[250029000]
KELLY C,[255806314]
SKANDI BARRA,[257679000]
IRISH CG,[111250053]
PROTECTOR,[235040606]
LEGACY,[620999818]
FEDERAL CEDAR,[538006473]
CHEM HOUSTON,[636016360]
BF HURRICANE,[235118075]
BALMORAL,[308785000]
TOPAZ DANUBE,[538007332]
BENRIACH,[563218400]
SMIT FROME          ,[235007561]
ICENI VALOUR,[232033047]
SVITZER ESTELLE,[232052057]
LADY RUBINA,[352003204]
RNLI LIFEBOAT 13-51,[232051614]
CARIBBEAN VOYAGER,[311000864]
WILSON DUNDALK,[255915954]
TINNO,[257937000]
DE SELENE,[244750775]
ISLAND CHIEFTAIN,[257236000]
STRIL ODIN,[258427000]
VUOKSI MAERSK,[219133000]
ORALYNN,[219030184]
F/V GROS MINET,[228206000]
SCHELDEGRACHT,[244730000]
GEOSURVEYOR XXII,[235074917]
GARDO,[235114493]
CORNELIS GERT JAN,[235004140]
SAFEEN BARONESS,[538010321]
BLUE TERN,[215644000]
FWN SPIRIT,[244140321]
COLOMBIAN STAR,[636014240]
FILLA,[235009928]
KINGDOM OF FIFE,[235066953]
NORSKY,[230652000]
SEVEN SISTERS,[228244700]
GERRY O SULLIVAN,[250108440]
EEMS RANGER,[246090000]
JOHANNES MAERSK,[219982000]
DUN AN OIR II,[250182000]
COSCO SHIPPING VIRGO,[477166500]
BOURDA,[636025005]
VERONICA D,[235008011]
PREGOL HAV,[305966000]
CATHARINA OF LADRAM,[235054653]
ALBA NA MARA,[235059857]
CELEBRITY APEX,[215105000]
MTS VALOUR,[235040596]
GPO AMETHYST,[538007705]
ST DAVIDS,[235116077]
ALMA,[212856000]
B2,[232854000]
SVITZER LYNDHURST,[232002565]
CLEW BAY QUEEN,[250128460]
SPARKLING STAR UL290,[232040790]
ROSE OF LORNE,[232004772]
BERGE TRIGLAV,[636019093]
FAIRCHEM PRESTIGE,[538011231]
LAUNKALNE,[210388000]
SWAN ATLANTIC,[319113500]
TINA C,[235061987]
NABUCCO,[209219000]
MILLENNIUM DIAMOND,[235092958]
TOPEKA,[229409000]
RONJA CHALLENGER,[258085000]
SVITZER MERIDIAN,[232018799]
F/V PERSEVERANCE 2,[228399700]
JEWEL OF LONDON,[235054922]
ENFORCER,[244597000]
TROMS LYRA,[235110776]
APL GWANGYANG,[566319000]
