Vessel_Name,MMSI_List,Destination_List
POLARIS,[305004000],['GDYNIA VIA KIEL']
VS PRIDE,[232012089],['CAMTR']
MH DAISEN,[563254300],['NL AMS']
ATLANTIC SUNFLOWER,[538011177],['CHARLESTON-USA']
CAPE SCOTT,[255916278],['FRLEH']
PACIFIC EGRET,[235076846],['GB BIF']
F/V MARIBELISE,[228091900],['CHERBOURG']
ARKLOW RAVEN,[250001109],['FRBAY']
SOLAR SKYLER,[538008706],['GBIMM']
CEG COSMOS,[275487000],['BRODICK']
0.316 AEGIR,[205241000],['']
CELESTIAL CLIPPER,[232044560],['LONDON']
GAS XANADU,[355840000],['GB THP']
BINCLEAVES RHIB,[235002732],['']
VB STRATHDON,[235059525],['TOWAGE OPS']
HST PADSTOW,[232052713],['LOW-EA1-LOW']
HELLA,[255805589],['GBSOU']
VB LOUP,[228472700],['LE HAVRE']
IMMACULATA,[226016410],['LE HAVRE']
RNLI LIFEBOAT 14-18,[232002181],['FOWEY SAR']
SD MOORFOWL,[235004366],['AIRD A MHILL']
GELMOND 2,[341546000],['EG ALY']
BG SAPPHIRE,[209247000],['ROTTERDAM']
STENA EMBLA,[210098000],['BEFAST-BIRKNHED']
LISA LEHMANN,[305981000],['VASTERAAS']
NADIR,[219794000],['MCD0FF']
BAKKANES,[231863000],['LOCH GAIRLOCH']
ULTRA SAN PEDRO,[352005335],['BEANR']
BOW SUN,[257892000],['BEANR']
VAYENGA MAERSK,[219110000],['ROTTERDAM']
GRANDE CONGO,[247302700],['GBSOU>DEBRV']
CASCADE SPIRIT,[311000335],['FOR ORDER']
MISSISSIPPI  STAR,[248621000],['ANTWERP']
GOLFSTRAUM,[258849000],['BE ANR']
OPTIMA SEAWAYS,[277339000],['FRDKK']
GOLDEN OAK,[538005558],['GBSOW-NLAMS']
NORDBAS,[257032830],['FISHING GROUND']
WINDCAT 36,[235107401],['RAMSGATE<>LAOWF']
UNISOUL,[305367000],['ANTWERP']
SEVEN FALCON,[235084424],['MURLACH']
SPANACO FIDELITY,[304713000],['GBPRU']
FALCON,"[232045042, 613467061]","['', 'FOR ORDER']"
NORROENA,[231200000],['HIRTSHALS']
CHRISTIANNA,[636020445],['IN JGD']
WIDOR,[304027000],['FR URO']
AURELIE,[227195140],['']
AAL DUBAI           ,[255915734],['DKAAL>FRLEH         ']
ELISE,[305170000],['GBLEI']
BRO ANNA,[564066000],['FRPJE>DKENS']
LESLIE ANNE,[232002848],['LOCH CRERAN']
AQUA TRANSPORTER,[259605000],['CLARE ISLAND']
FLYING DUTCHMAN,"[246277000, 244250731]","['', 'STROMNESS']"
